num_groups,pool_size,cumInfections_naive_mean,cumInfections_naive_sem,cumInfections_correlated_weak_mean,cumInfections_correlated_weak_sem,cum_num_tests_naive_mean,cum_num_tests_naive_sem,cum_num_tests_correlated_weak_mean,cum_num_tests_correlated_weak_sem
1,5,279.8291457286432,3.0580899832407393,282.23115577889445,3.2223441279991385,181109.3015075377,1428.4557633813608,181033.97487437187,1336.49718082141
1,10,278.4422110552764,3.235066523696553,286.65829145728645,3.2042087735978435,94856.29648241206,789.005616839774,95946.82412060302,677.0221679907239
1,15,286.8040201005025,3.3472907997496164,282.5829145728643,3.0358758635744416,70093.1055276382,549.335426194195,68395.86432160804,481.59906173573546
1,20,282.42713567839195,3.3712600475526258,286.24120603015075,2.9672772408191372,57488.41206030151,455.12668660448185,55796.21608040201,391.71080796692854
2,5,459.48743718592965,5.0044094089599165,454.95979899497485,5.533297285892864,103132.55778894473,239.46773752157972,102445.61809045226,218.75504938751595
2,10,460.36180904522615,4.978738588576983,455.4673366834171,5.300558275537864,59108.34673366834,184.24197555024674,57049.17085427135,166.97768440790222
2,15,471.6934673366834,5.232533283266423,466.8140703517588,5.350959432599165,47823.753768844224,204.52101960598125,44718.53768844221,150.56725550008392
2,20,461.89447236180905,5.837577076890128,458.21608040201005,5.129189569686104,44041.70351758794,243.16414578772054,39707.92462311558,179.9826316208302
3,5,704.3819095477387,7.642017175090696,701.4472361809045,8.171127001944532,72963.95477386935,66.64760936443322,71667.11055276381,56.85201842671849
3,10,697.0954773869347,8.986093647601189,696.5577889447236,8.214891927627004,46761.221105527635,167.76943695639932,44176.70854271357,123.45455057500027
3,15,707.1557788944724,8.150956676678032,695.5678391959799,7.756953169035145,42497.70854271357,224.99787665639505,38343.211055276384,174.04964052022066
3,20,702.6934673366834,8.192787460293115,702.2814070351759,7.8313059443570054,43108.763819095475,295.56789295220904,37905.50753768844,227.17322512686218
4,5,1322.2010050251256,14.435446288310184,1330.0150753768844,15.73271641191806,60355.32663316583,109.50659760404933,58205.9648241206,93.2739614160104
4,10,1337.5678391959798,16.16675883752911,1332.175879396985,16.837355905096928,46752.77386934673,245.6381492611955,42083.92462311558,203.6650683032525
4,15,1328.678391959799,16.023507712865396,1320.9195979899498,16.801261254378655,48370.38693467337,352.3061068799049,41375.44221105528,291.4345784989489
4,20,1336.0904522613066,15.852895025829895,1335.1859296482412,17.783817753353695,53656.31658291457,435.55913828214807,44585.21608040201,384.5320836542917
5,5,1453.6884422110552,18.106423721578867,1474.1356783919598,18.36261040050376,51497.27135678392,136.8823497461542,49113.994974874375,110.7908531449111
5,10,1448.7989949748744,18.57165124984053,1494.7989949748744,18.88186891873514,42962.547738693465,273.0365911060754,38426.763819095475,215.9869861552533
5,15,1466.8844221105528,19.59122736048368,1491.7688442211056,19.99569009267411,46825.43216080402,400.36943727308426,39580.3567839196,317.6662601788054
5,20,1495.9396984924624,18.189116297057627,1475.5577889447236,18.83357893799655,53516.65326633166,459.0786738904229,42996.9648241206,366.74137330455454
6,5,3127.115577889447,23.259123860465944,3089.668341708543,25.197650898802237,52445.502512562816,139.58177496806223,47932.21608040201,117.66499905548466
6,10,3117.4472361809044,23.063013525205605,3129.592964824121,23.71248427106058,53121.62814070352,241.27480206731784,44996.331658291456,198.97706997198694
6,15,3173.381909547739,21.776035058896525,3054.2663316582916,23.049136329551352,62403.195979899494,285.2541371262787,49475.175879396986,246.35153554714802
6,20,3126.8693467336684,22.627689380688466,3105.673366834171,22.27857871519075,70518.54271356783,325.5865056293225,56325.61809045226,271.06984196047
7,5,3194.6582914572864,25.48495406142697,3213.56783919598,21.42290890575302,47828.76884422111,145.55400311666904,43474.62311557789,95.30021470572082
7,10,3241.170854271357,25.124582144056365,3224.522613065327,24.004850665718532,50539.9648241206,232.15663112589064,42065.5175879397,184.0493799596421
7,15,3265.809045226131,23.83365654941646,3186.095477386935,25.49216116874968,59084.94974874372,265.98574741246955,47075.97487437186,242.65169843963074
7,20,3245.758793969849,23.401052472847216,3201.1507537688444,24.41289174496603,66873.57286432161,268.4774123123702,53151.77386934673,253.9680767154718
