num_groups,pool_size,cumInfections_naive_mean,cumInfections_naive_sem,cumInfections_correlated_mean,cumInfections_correlated_sem,cumInfections_correlated_weak_mean,cumInfections_correlated_weak_sem,cum_num_tests_naive_mean,cum_num_tests_naive_sem,cum_num_tests_correlated_mean,cum_num_tests_correlated_sem,cum_num_tests_correlated_weak_mean,cum_num_tests_correlated_weak_sem,daily_effective_efficiency_naive_mean,daily_effective_efficiency_naive_sem,daily_effective_efficiency_correlated_mean,daily_effective_efficiency_correlated_sem,daily_effective_efficiency_correlated_weak_mean,daily_effective_efficiency_correlated_weak_sem
1,5,2051.251256281407,20.948656687595072,2036.9748743718592,20.938198649183267,2026.6180904522614,19.709067993635518,204713.65829145728,46.88400868577385,202338.50753768845,24.620735091576456,203310.67336683418,31.90376774304434,0.009603387028966803,0.00020225960435465217,0.009697600302542074,0.00022214005931285003,0.009592678660805086,0.00021372859986887614
1,10,2159.2713567839196,22.040444406055506,2111.959798994975,20.55308464444711,2130.8492462311556,20.224623952120766,117401.69849246231,172.37920684497072,111139.56281407035,106.46633659641867,113476.33165829146,125.85188811246007,0.01712042821200666,0.00033200575956199464,0.017842097562656103,0.0003963348392374666,0.01756964589827443,0.00036565910289161786
1,15,2198.236180904523,20.309189134575437,2136.145728643216,21.116895741931657,2158.502512562814,19.970671805938217,94480.91457286432,245.83214539036513,84284.01507537688,169.39678176467973,87949.50753768845,189.78572496494482,0.021196571934627696,0.0003539417783339205,0.023223972937497006,0.0004906547864384741,0.022420376641305077,0.0004325049959173028
1,20,2244.809045226131,20.194821680482786,2164.708542713568,20.589414692355973,2184.1306532663316,20.74777496274965,87538.91959798995,320.6882289213038,73405.06030150753,213.56950884301526,78299.08040201005,255.65950103641782,0.023101509897387084,0.0003333974171547465,0.02655227607442851,0.0005193644288986729,0.02509425410987516,0.0004459173767232716
2,5,2135.326633165829,21.721076632420015,2090.291457286432,21.263999287892954,2129.708542713568,21.175840205977188,107648.49246231155,76.64579625711231,104466.02010050252,46.4396100857288,105830.76381909547,57.27116095271509,0.018798337009687225,0.00041184153743554407,0.01910793488079573,0.00045761431597506936,0.019168130994060745,0.00043691638245212767
2,10,2248.64824120603,20.880998898450613,2166.5125628140704,21.81869197643703,2218.497487437186,20.935743850445117,69359.47236180905,173.9928359870712,61889.94974874372,118.28411387593118,64592.91457286432,135.31910114379747,0.029575423061547545,0.000526768011173868,0.032254034250719474,0.000697225471621156,0.031516592329235774,0.0006393424761612939
2,15,2348.668341708543,20.65936955757366,2203.502512562814,20.323019443851567,2249.326633165829,22.130060826441838,63490.33668341709,251.0963536276078,51096.366834170854,161.0956211424881,55032.98994974874,203.46648928214563,0.03318887352936169,0.0004718368949407627,0.03881182917853769,0.0007653914452913939,0.036661231340767285,0.0006610315510173506
2,20,2348.005025125628,21.63794417255124,2264.1256281407036,19.27253354462135,2283.2311557788944,18.934727452205397,64053.42211055276,331.0981132786037,48336.175879396986,194.22254621541106,53337.763819095475,224.07409824656773,0.032638349908617005,0.00042040734164905315,0.041786223993876354,0.0007566367470455282,0.03824113618891003,0.0006105671975545099
3,5,2370.5175879396984,22.416996921217724,2250.291457286432,20.59602409274858,2312.889447236181,20.358771749092288,76187.63819095478,88.33082316125811,72178.23618090453,49.897944061808936,73855.76884422111,62.376559781876104,0.029259098753345383,0.0006208008617141867,0.029645879412811688,0.0007007460489806152,0.029609119544172703,0.0006676538544565784
3,10,2470.9497487437184,21.664425311036368,2303.929648241206,22.219851131327953,2365.1557788944724,21.39612288814447,54812.92462311558,179.36566829117933,46196.608040201005,124.17989578941409,49334.29648241206,140.48277094487494,0.04063340037126719,0.0006601615900539804,0.045523957784169025,0.0009456738610478825,0.043495725238089825,0.0008241141640843078
